100,2815,1,6,0.419048
90,2731,1,6,0.533333
70,3839,0,6,0.419048
90,679,0,5,1.6
60,1017,0,5,1.9
90,4074,0,6,1.55235e-25
100,3733,0,6,0.533333
80,3770,0,6,0.419048
100,3071,1,6,0.47619
100,4074,1,6,0.342857
100,4095,1,6,2.11778e-27
100,4074,1,6,0.342857
100,937,0,5,0.4
100,3835,1,6,1.33333
100,4076,1,5,0.7
60,2978,0,5,0.202703
100,111,1,4,0.3
100,4091,1,6,0.704762
100,4035,1,4,1.0732e-27
100,4010,1,6,0.419048
100,3562,1,6,2.70476
100,4095,1,6,2.11778e-27
100,4009,1,6,0.419048
100,2735,1,6,0.419048
80,2746,1,6,0.419048
70,2799,0,6,1.37143
100,1001,1,5,0.3
100,2815,1,6,0.419048
100,4095,1,6,2.11778e-27
100,4095,1,6,2.11778e-27
100,2876,1,4,0.35
100,1023,1,5,6.27647e-19
80,1468,0,5,0.3
100,2815,1,6,0.419048
100,4005,1,6,0.342857
100,3839,1,6,0.704762
100,4090,1,6,0.419048
100,4094,1,6,0.47619
100,2751,1,6,0.342857
100,4095,1,6,2.11778e-27
100,3818,1,6,0.819048
100,3903,1,5,7.52623e-28
70,3753,0,6,1.09918e-19
60,2965,0,6,0.419048
60,3306,0,5,0.202703
100,249,1,4,0.3
90,3050,1,6,0.47619
80,3978,0,5,0.27907
80,3903,0,5,0.174419
100,4095,0,6,2.11778e-27
70,1390,0,6,0.419048
100,4074,1,6,0.342857
100,4074,0,6,0.342857
100,1454,1,6,1.10476
100,4073,0,6,0.533333
100,4095,1,6,2.11778e-27
90,2794,0,6,0.419048
100,4095,0,6,2.11778e-27
60,1707,0,6,1.09918e-19
60,1016,0,4,0.3
100,4094,1,6,0.47619
100,3839,1,6,0.704762
100,4095,1,6,2.11778e-27
100,3058,1,5,1.17568
100,4095,1,6,2.11778e-27
100,4027,0,6,1.27619
80,287,0,4,1.88571
70,684,0,4,0.3
90,3739,0,6,2.41905
90,3050,1,6,0.47619
100,4010,1,6,0.419048
100,2815,1,6,0.419048
100,4095,1,6,2.11778e-27
80,1711,0,6,1.10476
90,4095,1,6,0.342857
100,2815,1,6,0.419048
100,3071,1,6,0.47619
100,4080,0,4,9.98402e-31
100,4010,1,6,0.419048
80,1398,0,6,1.94286
100,2735,1,6,0.419048
60,2987,0,6,0.419048
90,1770,1,6,1.08571
100,3536,0,4,3.2
80,1727,0,6,0.47619
100,2751,1,6,0.342857
90,4074,0,6,1.55235e-25
90,4057,0,6,0.819048
100,4095,1,6,2.11778e-27
100,2751,1,6,0.342857
100,4095,1,6,2.11778e-27
100,4095,1,6,2.11778e-27
100,3995,0,6,3.10476
100,2731,0,6,0.47619
100,3307,0,5,1.06757
100,3754,0,6,0.47619
90,4079,1,6,0.419048
80,4095,1,6,0.342857
100,4095,1,6,2.11778e-27
100,4095,1,6,2.11778e-27
100,1707,1,6,0.571429
90,3071,1,6,0.533333
100,2091,1,4,0.464286
100,933,1,5,0.3
100,4005,1,6,0.342857
80,2622,1,5,0.465116
100,2986,1,6,0.704762
70,953,0,5,0.8
80,3757,1,6,1.67619
100,3498,0,6,1.94286
100,4095,1,6,2.11778e-27
100,4095,1,6,2.11778e-27
100,2794,1,6,0.819048
100,1708,1,5,0.4
60,2987,0,6,0.419048
100,848,0,3,0.666667
100,3077,0,3,0.0952381
100,4095,1,6,2.11778e-27
80,3068,0,5,1.1
100,4095,1,6,2.11778e-27
100,2047,0,6,1.90476
70,201,0,3,0.0714286
100,1878,1,6,3.48571
60,87,0,4,0.3
100,4095,0,6,2.11778e-27
100,3754,1,6,0.47619
90,2803,1,5,0.689189
100,3753,1,6,0.571429
100,2734,1,6,0.704762
100,938,1,5,0.4
80,2738,0,5,0.27027
100,4090,1,6,0.419048
100,2735,1,6,0.419048
100,4095,1,6,2.11778e-27
100,2811,1,6,1.14286
100,4095,1,6,2.11778e-27
100,4095,1,6,2.11778e-27
100,4068,0,5,0.7
60,364,0,4,0.3
100,3002,1,6,1.27619
100,4095,1,6,2.11778e-27
60,2277,0,5,1.08108
100,3071,1,6,0.47619
100,4010,1,6,0.419048
100,2751,1,6,0.342857
100,1707,1,6,0.571429
100,2986,1,6,0.704762
100,4083,1,5,1.14782e-26
100,3003,0,6,1.37143
100,4047,1,5,3.7216e-27
100,4095,1,6,2.11778e-27
100,4080,1,4,9.98402e-31
60,4006,0,6,0.533333
100,3968,0,3,0.166667
100,1443,0,5,0.202703
100,234,1,4,0.3
90,4074,0,6,1.55235e-25
100,4004,0,5,0.3
100,2731,0,6,0.47619
70,2749,0,6,1.67619
100,3009,0,4,1.60714
100,2750,0,6,1.10476
100,4094,1,6,0.47619
100,4095,1,6,2.11778e-27
100,4095,1,6,2.11778e-27
100,4095,1,6,2.11778e-27
100,4095,1,6,2.11778e-27
100,4091,1,6,0.704762
100,1451,0,6,0.419048
100,1023,1,5,6.27647e-19
90,4091,0,6,0.819048
90,3306,0,5,2.14601e-10
80,2750,0,6,0.47619
100,4095,0,6,2.11778e-27
80,2687,0,6,0.819048
100,2748,0,5,0.3
60,4070,0,6,0.419048
100,3593,0,4,0.529412
100,3071,1,6,0.47619
100,4005,0,6,0.342857
90,3861,0,5,0.174419
100,4031,1,6,0.819048
100,4095,1,6,2.11778e-27
80,3983,1,5,0.360465
100,4010,1,6,0.419048
90,2799,1,6,0.342857
100,3978,1,5,0.360465
80,191,1,4,1.59338e-26
60,1707,0,6,1.09918e-19
80,1471,1,6,0.419048
100,4074,1,6,0.342857
90,4074,1,6,1.55235e-25
90,4074,0,6,1.55235e-25
